FIN Flag Count,ACK Flag Count,PSH Flag Count,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,act_data_pkt_fwd,Total Fwd Packets,Total Length of Fwd Packets,Destination Port,Flow Packets/s,Flow Bytes/s,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Duration,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Subflow Fwd Bytes,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,_protocol
0,0,0,0,0,0,0,1,45,53,1000,45000,1000,0,0,0,0,0,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,65,65,65,0,0,45,45,0,0,0,0,0,0,Normal Traffic,17
0,0,0,0,0,0,0,1,45,53,23.25581395,1046.511628,11.62790698,11.62790698,86000,86000,0,86000,65,65,65,0,65,65,65,0,86000,0,0,0,0,0,0,0,0,0,0,20,20,65,65,65,0,0,45,45,0,0,0,0,0,0,Normal Traffic,17
0,11,5,0,0,0,0,4,154,443,32.16374269,2730.994152,11.69590643,20.46783626,34200,0,57045.40102,342000,79,40,58.5,21.42428529,610,40,131.4285714,211.6867632,184000,295000,98333.33333,90886.37595,184000,3000,291000,48500,91484.97144,231000,0,80,140,40,610,104.9090909,168.4585733,28378.29091,84.90909091,154,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,45,53,86.95652174,11173.91304,43.47826087,43.47826087,23000,23000,0,23000,65,65,65,0,232,232,232,0,23000,0,0,0,0,0,0,0,0,0,0,20,20,65,232,148.5,118.0868325,13944.5,128.5,45,0,0,0,0,0,0,Normal Traffic,17
0,3,2,0,0,0,0,2,64,53321,15.07537688,562.8140704,10.05025126,5.025125628,99500,0,140714.2495,199000,64,40,52,16.97056275,68,68,68,0,199000,199000,199000,0,199000,199000,0,0,0,0,0,40,20,40,68,57.33333333,15.14375559,229.3333333,37.33333333,64,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,64,53,66.66666667,8266.666667,33.33333333,33.33333333,30000,30000,0,30000,84,84,84,0,204,204,204,0,30000,0,0,0,0,0,0,0,0,0,0,20,20,84,204,144,84.85281374,7200,124,64,0,0,0,0,0,0,Normal Traffic,17
2,19,9,0,0,0,0,8,713,443,23.4741784,9031.690141,9.389671362,14.08450704,44842.10526,0,93235.81999,852000,557,40,109.125,181.179814,2912,40,601.8333333,882.3124404,306000,852000,121714.2857,126869.6369,306000,0,631000,57363.63636,105006.9262,307000,0,160,240,40,2912,404.75,723.960807,524119.25,384.75,713,0,0,0,0,0,0,Normal Traffic,6
0,3,2,0,0,0,0,2,64,57910,14.77832512,551.7241379,9.852216749,4.926108374,101500,0,143542.6766,203000,64,40,52,16.97056275,68,68,68,0,203000,203000,203000,0,203000,203000,0,0,0,0,0,40,20,40,68,57.33333333,15.14375559,229.3333333,37.33333333,64,0,0,0,0,0,0,Normal Traffic,6
0,3,1,0,0,0,0,3,455,61901,11.45038168,1736.641221,11.45038168,0,131000,0,185261.9767,262000,435,40,171.6666667,228.0533563,0,0,0,0,262000,262000,131000,185261.9767,262000,0,0,0,0,0,0,60,0,40,435,171.6666667,228.0533563,52008.33333,151.6666667,455,0,0,0,0,0,0,Normal Traffic,6
0,2,0,0,0,0,0,1,21,443,41.66666667,1104.166667,20.83333333,20.83333333,48000,48000,0,48000,41,41,41,0,52,52,52,0,48000,0,0,0,0,0,0,0,0,0,0,20,20,41,52,46.5,7.778174593,60.5,26.5,21,0,0,0,0,0,0,Normal Traffic,6
